NAMELSAD,Stops Per 1000 People,>30 Min Commute Percent,Percentage of occupied housing units with no vehicles available,Percentage of the population 65 years and older,Percentage of the population without health insurance coverage,Percentage of the population with a disability,% Of Homes Built Before 1960 (Lead Paint),EJ Index for Diesel Particulate Matter (2017),EJ Index for 2017 Air Toxics Cancer Risk,EJ Index for Traffic Proximity,EJ Index for Particulate Matter 2.5,EJ Index for Ozone,Percentage of population over age 25 without a high school diploma (including GED),Percentage of Occupied Housing Units not by Property Owner,Percentage of the labor force unemployed,Gini Index of income inequality (income distribution across a population),% Low Income,Percentage of Persons Below 150% Poverty Estimate (Federal Poverty Level),"Percentage of housing cost burdened occupied housing units with annual income less than $75,000 (30%+ of incomespent on housing costs)",Expected Annual Loss - Score - Composite,Percentage of limited English-speaking households
Census Tract 40.05,3.386699507,0.246,16.1426844,12.40763547,2.962962963,10.18518519,0.434403919,29.83645012,28.2323399,31.76138239,24.38247537,16.36192426,1.75664096,77.24550898,3.571428571,0.446,0.31375,21.7,29.4,24.47565587,1.511487304
Census Tract 40.06,1.841620626,0.292,3.564257028,14.67157766,1.780233272,5.443012073,0.400623886,21.73603308,20.79098816,19.84594324,17.48333095,12.75810637,2.402217431,47.01426025,3.809141941,0.6141,0.220220432,19.8,30.1,47.58907391,3.212851406
Census Tract 41.01,8.695652174,0.405,11.42540211,8.173913043,9.732472325,9.824723247,0.441997852,51.3585876,52.45132351,40.97759649,50.26585169,10.92735906,10.3516921,58.43179377,6.940980881,0.4448,0.376214167,31.1,40.5,69.28623435,0.055463117
Census Tract 41.02,4.169825625,0.431,11.88707281,15.3525398,8.716475096,20.651341,0.855888808,50.62800111,55.23054666,33.94377347,52.92927389,11.50636389,22.22787386,42.50182882,10.93260188,0.5265,0.382251249,27,32.8,62.89428565,5.497771174
Census Tract 41.03,3.984063745,0.347,4.770558837,11.21667177,5.960772295,6.43579528,0.911022576,25.33404842,24.77106957,19.70425988,25.33404842,6.192767392,3.509551311,12.43913236,2.148337596,0.4125,0.110481152,9.9,14.7,44.14002865,0.954111767
Census Tract 41.04,6.957866254,0.256,4.429390307,12.42752223,8.341416101,7.061105723,0.878238342,27.86606107,28.51410901,21.70960572,29.16215694,7.128527252,5.839231547,21.34715026,3.801169591,0.3827,0.104561268,8.9,17.4,30.85351246,0.885878061
Census Tract 41.08,0.671411307,0.472,3.751030503,7.143816302,0.335705653,5.210151739,0,15.03007923,15.37961595,4.369209077,16.25345777,3.670135625,0,16.81559708,2.619172342,0.353,0.101383107,7.5,15.5,62.20846936,0
Census Tract 41.09,5.813953488,0.336,4.497354497,0.678294574,0,2.61627907,0.092592593,22.20833333,22.7248062,5.68120155,24.01598837,5.422965116,0,1.851851852,0,0.2907,0.023255814,2.3,1.9,56.82528126,0
Census Tract 41.10,2.24443991,0.325,2.060843965,3.183023873,3.140862944,6.598984772,0,16.21412062,16.59119319,6.598770018,17.53387462,3.959262011,9.794262533,18.64573111,5.432722678,0.399,0.089784264,7.1,12.7,76.20781173,0
Census Tract 41.11,2.584869895,0.335,1.13085622,3.946234706,0.792693434,2.671032225,0.016623377,15.13940977,16.44775383,7.47625174,17.3822853,3.925032163,0,19.11688312,0.740055504,0.377,0.117221169,8.9,14.4,70.58975503,2.477113624
Census Tract 41.12,2.306425041,0.384,3.807209397,12.27347611,2.37584557,4.68569543,0.004465947,15.81968699,17.18682043,5.468533773,18.16334432,4.101400329,0.266860747,48.52995906,2.117061021,0.4967,0.119110379,9,35.3,47.65366278,0.769542325
Census Tract 41.13,14.86199575,0.245,3.214890017,4.777070064,1.085714286,2.685714286,0.018612521,10.05168972,10.92035426,6.577031544,11.54082894,2.605993631,4.131599082,37.2250423,2.623906706,0.3841,0.041714286,4.2,10.3,29.98919604,1.015228426
Census Tract 42.01,2.89017341,0.327,6.199893105,16.72171759,4.689769662,6.287611538,0.96039604,16.23883767,16.05637882,14.23179031,16.05637882,4.379012404,3.609281008,17.09223554,3.799336038,0.4821,0.106453621,7.7,11.3,47.20154074,0
Census Tract 42.02,4.732200473,0.301,3.095388503,14.54076145,2.893543511,5.419995681,0.797575758,17.61261305,18.02220871,16.17902827,18.02220871,5.119945655,2.376485303,17.03030303,5.320699708,0.4825,0.154487027,13.4,13.6,45.36134533,0.758054327
Census Tract 43.02,3.307972213,0.283,5.037783375,9.725438306,2.315580549,4.995038042,0.818930041,17.26761495,16.88389018,9.976844195,16.5001654,5.372146874,6.153123532,31.6872428,1.258205689,0.4755,0.100893152,5.5,18.4,20.42299833,0.67170445
Census Tract 43.03,3.747189608,0.252,2.444134078,20.73444916,0.074943792,7.469397952,0.690555928,12.26455159,11.992006,10.62927804,11.31064202,4.497002248,2.976612332,12.05626256,3.441494592,0.4983,0.059205596,2.7,8.5,59.63665829,0
Census Tract 43.06,4.590984975,0.402,3.701825558,20.76377295,2.615219721,11.14683816,0.384758364,17.71901105,17.92267785,16.2933435,17.10801067,6.721004192,3.359908884,43.49442379,8.929836995,0.5231,0.172775991,9.6,25.7,53.88707518,0.912778905
Census Tract 43.07,1.644736842,0.279,17.68231768,8.771929825,13.32236842,4.879385965,0.621368322,17.2620614,16.69298246,17.45175439,16.12390351,5.121710526,0,64.57357076,0.772797527,0.4224,0.238486842,14.1,33.9,10.22970148,0
Census Tract 43.08,3.702560938,0.352,6.898485698,10.6448627,3.879849812,11.13892365,0.327512978,21.86619647,21.14533285,20.90504498,20.42446923,6.48777258,6.551204819,74.13874469,0.788436268,0.4216,0.234355444,13.6,39.1,61.20675482,4.03813797
Census Tract 43.09,4.187192118,0.446,0.805585392,8.54679803,11.74876847,3.81773399,0.644771414,19.04285714,19.48571429,16.60714286,19.26428571,5.978571429,9.03577926,39.83184446,4.772641864,0.4142,0.138669951,7.4,28,32.38603002,5.692803437
Census Tract 43.10,8.061265619,0.438,1.395348837,16.04191858,0.967351874,8.786779524,0.886511628,12.61749295,12.91092301,12.17734784,12.76420798,3.961305925,1.341921632,12.46511628,1.532801962,0.3536,0.081821846,5.8,16.9,21.90501914,0
Census Tract 44.03,2.7291335,0.436,9.850905218,8.028201046,10.93571265,13.20064059,0.641938675,30.94780532,34.47350466,25.07163975,34.86524903,9.401864908,8.687995304,60.03956479,5.813193991,0.3567,0.272231067,16.5,37,22.8961646,2.768903088
Census Tract 44.04,1.985111663,0.457,6.373937677,5.343258892,7.344913151,15.68238213,0.424786325,47.98064516,54.13200993,39.98387097,54.13200993,15.99354839,17.06161137,69.95726496,10.58519793,0.4638,0.506203474,33.3,44.7,31.60509195,6.326723324
Census Tract 44.06,2.320724066,0.383,17.66917293,15.94337433,3.249013692,13.76189371,0.244490005,16.28811789,18.61499188,7.403689951,17.98038988,6.769087955,3.612225996,45.51512045,4.342162397,0.4872,0.093757252,3.9,29,50.43920427,0.698174006
Census Tract 44.07,3.084634664,0.358,11.18911803,16.81125892,4.804339403,7.070902751,0.060032895,19.07414151,21.79901887,14.11981904,21.0558705,7.926915952,4.958232282,54.27631579,9.522370012,0.4888,0.194487578,16.2,16.8,53.35862085,4.563405002
Census Tract 45.03,3.335949765,0.803,7.088989442,6.043956044,27.15855573,4.650706436,0.663976522,70.76708752,69.19448558,36.16984473,51.89586418,48.75066029,29.32053176,67.71826853,2.855511136,0.4459,0.698975571,50.1,49.2,17.13718674,11.84012066
Census Tract 45.04,1.984564498,0.563,5.432937182,6.945975744,16.31753032,10.89305402,0.629780309,69.58941566,73.41300992,61.94222712,50.47144432,46.64785006,43.20937753,56.38730675,4.844855743,0.3969,0.618081588,43.2,40,12.98705874,12.73344652
Census Tract 45.05,1.965408805,0.741,6.146179402,4.658018868,39.28852201,8.726415094,0.588095238,71.25746855,66.7091195,65.19300314,51.54795597,42.45125786,37.81177253,70.15873016,1.936108422,0.4553,0.607507862,45.4,50.6,20.66138995,14.70099668
Census Tract 45.06,2.713704206,0.623,9.044193217,7.381275441,26.48575305,11.8046133,0.708661417,70.27367707,66.49552239,43.07096336,50.62727273,43.8265943,42.29116945,67.12598425,1.564537158,0.4804,0.61302578,42.2,47.5,17.89698664,19.11613566
Census Tract 46.01,1.888162672,0.487,5.955603682,9.121278141,18.89615105,10.2832244,0.874542603,46.74749455,47.28482208,34.38896151,34.38896151,34.92628903,21.29169624,41.2963931,1.902820251,0.383,0.322004357,23,25.6,28.1372572,4.981050352
Census Tract 46.02,1.670146138,0.523,8.152436083,6.360473208,20.19627365,4.793059309,0.595416277,55.53113814,54.90719276,44.30012143,41.18039457,38.68461308,30.51269288,52.29186155,1.848370927,0.4246,0.487,41.3,45.8,33.80698499,19.19922817
Census Tract 46.03,2.981613384,0.525,3.031943692,11.21417923,10.33625973,7.03992049,0.899462366,41.09814961,42.05392053,24.37215849,31.06255494,31.5404404,15.78310336,26.07526882,9.795689896,0.3627,0.332116788,19.7,37.1,29.80130117,3.302652951
Census Tract 47,3.232758621,0.444,6.145251397,17.10668103,13.67071525,10.09446694,0.626931567,39.22165456,43.14382001,29.9065116,30.39678228,33.33840637,19.64636542,31.03752759,2.628783856,0.4112,0.384636192,19.7,30.7,40.25177913,3.770949721
Census Tract 48.01,3.39869281,0.422,3.895004234,15.08496732,8,12.41830065,0.803630363,26.50980392,31.1048366,29.69098039,21.20784314,25.09594771,10.57142857,8.333333333,3.166666667,0.4355,0.101176471,6.7,24,19.30854687,2.540220152
Census Tract 50.01,8.682521706,0.429,3.422459893,15.62853907,9.171005206,15.45855026,0.513486513,33.67540832,32.92706591,31.05620989,30.30786748,14.59267694,9.636803874,25.07492507,2.22521915,0.376,0.291566265,22.6,24.4,23.25551354,3.529411765
Census Tract 50.03,4.587155963,0.463,10.3930131,15.13761468,6.766055046,18.11926606,0.145748988,29.46559633,29.80428135,30.14296636,27.43348624,13.2087156,4.273504274,60,6.937799043,0.5712,0.282874618,20.7,50.7,19.71721822,0.786026201
Census Tract 50.04,3.077449137,0.435,16.42241379,11.19849547,8.266163608,13.75407306,0.018765638,40.58150948,41.04796361,35.91696816,37.78278469,18.19171114,5.135411344,66.93077565,6.89856767,0.415,0.38170293,28,44.4,34.32134721,11.68103448
Census Tract 51.02,1.070090958,0.295,4.333764554,12.7340824,7.356875334,9.042268593,0.70531401,15.73943285,15.05510968,10.26484751,13.34430177,7.698635634,1.415428167,26.38888889,2.738046588,0.3568,0.209202782,10,15.6,27.67574042,0.84087969
Census Tract 51.04,3.308729957,0.341,14.1521197,16.03461441,10.1457245,12.29034919,0.33663944,35.98025887,34.04583635,38.30156589,29.7901068,18.57045619,11.63879599,78.76312719,4.578904334,0.4885,0.359923246,27.4,38.7,48.91020974,13.77805486
Census Tract 52,3.293988471,0.353,0.677710843,22.12462256,3.112090333,7.711374277,0.534985423,13.36398573,12.92341477,10.72055998,11.45484491,6.755421356,3.324287653,21.20991254,3.664921466,0.3893,0.148229481,12.7,14.8,29.89877164,2.484939759
Census Tract 53,12.22351572,0.463,18.68131868,22.75902212,5.498489426,10.87613293,0.374193548,28.1144911,26.89212192,30.25363716,22.91942209,15.89079932,5.63594821,67.09677419,10.05076142,0.4524,0.307924985,13.8,44.9,26.84078258,3.434065934
Census Tract 55.02,8.771929825,0.388,1.587301587,15.05847953,5.959475566,8.224076281,0,32.06407781,33.59093866,29.01035612,22.1394823,28.24692569,19.45830364,46.96969697,4.621309371,0.3196,0.371617559,28.4,34.7,14.25652348,0.992063492
Census Tract 55.03,1.51543853,0.415,7.321428571,15.21121425,4.050387597,13.15891473,0.211300765,22.33050115,25.52057274,9.860221287,16.24036447,22.33050115,12.38044633,20.42377869,2.540500736,0.404,0.206836279,18.3,19.8,35.56967377,0.714285714
Census Tract 67.01,0.965950254,0.304,3.614457831,6.520164212,3.826592395,6.490675708,0.018577075,12.83149258,12.5463483,14.11464183,9.552333362,9.267189082,1.579731744,94.46640316,1.419698314,0.3839,0.137112403,10.4,31.1,36.87554313,0
Census Tract 68.04,6.192959583,0.294,1.990349819,20.79530639,5.769230769,9.159061278,0.014933333,11.14341591,11.67405476,13.00065189,8.888200782,8.35756193,5.561904762,65.01333333,3.609756098,0.3564,0.105606258,5.7,21.4,58.3765883,0.482509047
Census Tract 68.10,2.53365004,0.3,2.095459837,14.75851148,8.566904196,10.70467142,0.05171131,32.89113222,34.87252573,37.64647664,27.73950911,22.98416469,5.30438675,46.16815476,1.047120419,0.456,0.317656374,19.3,38.6,45.27092092,0.388048118
Census Tract 68.12,4.301075269,0.235,5.514365153,23.65591398,6.618876941,15.53166069,0.012189813,17.12302817,16.55853274,18.44018419,13.73605557,10.34908296,1.203369434,42.75141489,4.823151125,0.4919,0.176569238,13.3,26.3,33.13526082,4.170528267
Census Tract 68.13,2.706970449,0.365,11.24828532,14.18903677,12.88496377,15.46648551,0.018002572,28.15249267,30.96774194,29.20821114,26.04105572,17.24340176,14.6856986,76.98242606,4.146510021,0.3832,0.206632078,16.2,50.5,32.3801583,5.532693187
Census Tract 68.14,1.609657948,0.4,0.328227571,12.15291751,8.953722334,10.54325956,0.028720627,32.76700201,35.16458753,31.56820926,29.17062374,20.77907445,14.1939431,39.58224543,1.979045402,0.4361,0.324144869,28.4,34,34.32252155,8.369803063
Census Tract 68.15,7.480130902,0.334,10.89414183,14.35250117,6.451612903,3.366058906,0.07371484,9.112669472,9.112669472,10.25175316,7.248714353,6.213183731,3.032104637,58.87487876,3.441558442,0.4474,0.029453015,2.9,34,23.34711229,0
Census Tract 68.16,3.109211038,0.319,2.341006633,20.77341625,7.384376215,13.91371939,0.03279321,19.03303537,19.03303537,21.1958803,15.1399145,12.97706957,1.698301698,48.03240741,5.926946933,0.4696,0.246793626,16.2,39.7,45.07950302,0.585251658
Census Tract 68.17,4.157218443,0.329,0,19.72789116,2.078609221,12.01814059,0,18.38095238,19.25623583,7.439909297,15.9739229,11.81632653,4.595695172,21.11506524,1.98019802,0.3427,0.133786848,12.1,13.4,15.78904103,0
Census Tract 68.18,2.701375246,0.27,14.12994094,25.27013752,5.227948464,10.30723489,0.025269263,14.97791682,15.69115096,15.15622536,13.01652295,9.628660815,0.844136268,68.47555924,3.79644588,0.4437,0.198463826,15.4,38.4,33.00373441,4.225352113
Census Tract 69.02,3.117913832,0.39,14.44067797,17.60204082,17.73550169,19.94476833,0.097465887,25.90870915,25.05457589,27.04755351,21.35333172,14.23555448,6.210951856,76.28330084,7.58385999,0.4381,0.256213562,19.1,36.4,32.61032952,1.762711864
Census Tract 69.03,4.33582972,0.29,4.115226337,13.55932203,10.25230276,7.448938726,0.057692308,37.25048717,36.02244913,35.20375711,30.70095097,20.46730064,8.496366685,62.41258741,7.876447876,0.4246,0.400481541,28.9,42.7,15.29229396,5.967078189
Census Tract 70.06,1.647058824,0.379,11.28445138,2.517647059,17.27551261,10.88852227,0.069711538,41.46247059,45.04564706,47.09317647,36.85552941,27.12976471,22.74381368,100,4.46459714,0.3266,0.418588235,25,53.9,17.20177561,17.52470099
Census Tract 70.13,2.769443803,0.355,2.792696026,16.20124625,7.569813063,8.746826679,0.003080082,22.51073159,24.1578583,12.62797138,21.41264713,12.07892915,4.379350348,35.78028747,1.495258935,0.3717,0.196861297,13.9,24.2,31.54520046,0.590762621
Census Tract 70.37,1.938401895,0.525,10.88939567,4.802929141,15.07645919,11.58733577,0.02653486,48.96209347,55.23928495,50.84525092,51.47297006,22.5978893,15.5604954,79.44849116,7.228490832,0.4564,0.539737239,25.6,45.3,26.67050285,13.39794755
Census Tract 70.88,1.7208413,0.414,13.93684211,15.8126195,19.76153245,12.00156372,0.015067407,35.4523582,39.49123445,38.5937064,36.79865029,16.60426903,5.587170202,76.20935765,5.129053607,0.3885,0.410721172,20.6,53.9,34.52450854,3.452631579
Census Tract 70.90,1.750291715,0.336,1.74717369,9.743290548,21.17852975,6.592765461,0.033915725,34.25320887,39.66161027,36.05600933,37.40810968,16.2252042,8.191403082,56.83453237,0,0.5157,0.353558926,27.9,49.5,3.848321864,7.605344296
Census Tract 70.91,6.466784245,0.469,11.56178923,76.69018225,2.175191064,29.04174015,0.205974297,16.86654909,19.52968842,13.31569665,18.42004703,7.989417989,1.675485009,22.75095519,7.81938326,0.4422,0.34244562,18.2,43.6,19.8863236,3.070507961
Census Tract 83.04,1.220107369,0.506,0.8168028,10.27330405,26.64054848,13.98139079,0.160633484,54.6885798,61.69993618,37.86132447,65.90675001,14.02271277,36.73388691,40.04524887,1.982378855,0.484,0.502564103,19.1,35.9,11.29248186,9.334889148
Census Tract 83.05,1.567671137,0.524,4.549950544,6.218428845,22.57446438,9.841491029,0.103883495,55.22450949,63.94416888,33.42536101,67.57736029,14.53276565,29.5379538,39.80582524,10.69651741,0.3984,0.55151729,39,39,12.29654508,4.846686449
Census Tract 83.06,2.958996759,0.51,10.42780749,10.18740313,21.18811881,8.783592645,0.035435122,55.75377872,61.32915659,27.87688936,64.81376776,13.93844468,32.0845341,48.04585722,10.0466563,0.3932,0.481628038,31.5,44.9,27.95875708,15.34759358
Census Tract 83.12,2.805986104,0.451,8.077099587,7.870122929,17.09470305,10.71428571,0.027990971,54.32954624,56.24705964,60.08208643,58.16457304,14.06176491,23.63106392,46.00451467,6.8861523,0.3489,0.395659207,14.4,41.1,50.44977335,6.241395135
Census Tract 83.86,3.488610712,0.444,2.707423581,6.73096655,16.88898009,9.234557767,0.006113537,49.40070091,57.96348907,24.37101245,60.59819312,13.17352024,36.04737232,33.97379913,5.429292929,0.3448,0.384046053,30.2,36.3,22.53211828,5.327510917
Census Tract 83.87,3.001773775,0.443,0.426049909,9.551098376,13.48069314,4.134261154,0,48.44937918,55.37071906,15.1011052,57.88756993,13.21346705,31.49606299,22.32835821,4.693235448,0.3488,0.332378223,16.8,28.5,32.99199098,8.338405356
Census Tract 83.88,2.889414237,0.457,0.78023407,3.712459504,13.18497669,5.770076524,0.005501375,40.20554242,47.17450311,23.58725155,48.24665091,10.72147798,20.49756625,47.56189047,5.000737572,0.3914,0.273005866,18,32.7,71.78875919,6.579973992
Census Tract 83.89,3.21107464,0.535,0.905218317,8.455829884,13.93636039,9.224168752,0.009392121,28.79943291,29.97491997,14.69358822,49.95819995,11.16712705,13.25086238,16.6971041,9.65758211,0.3289,0.344817727,8.6,33,73.32597412,3.674121406
Census Tract 83.90,1.91448628,0.563,4.237918216,7.147415444,12.06126356,10.16804935,0.03372434,29.77345246,25.30743459,13.89427781,42.17905765,9.924484152,14.37168142,27.93255132,1.942663146,0.3276,0.203467347,14.5,28.7,52.75970594,4.460966543
Census Tract 83.91,2.05338809,0.532,1.66142793,10.02053388,5.894448252,9.609321453,0.009581882,25.74263672,25.74263672,7.571363742,41.39012179,10.09515166,15.96141197,18.85888502,2.184397163,0.302,0.254142133,9.9,30.5,45.59386523,4.894476875
Census Tract 9800.01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419848839,0,0,0,53.58996641,0
Census Tract 9801,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419848839,0,0,0,74.20085962,0
Census Tract 9802,25.64102564,0.302,0,0.512820513,5.641025641,3.076923077,0.914893617,14.63717949,13.14358974,14.78653846,11.50064103,4.928846154,0,53.19148936,2.894736842,0.4213,0,0,23.1,74.51793222,0
